mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1010.471987963027,766.0337861566652,309.518242016717,240.06813895292024,0.0,,,0.0,0,0,0,3,Day_3,70,70,22
idle,0.0,0.0,0.0,1010.4007557642307,765.9869977780495,309.5171051925153,240.07394713902497,0.0,,,0.0,0,0,0,3,Day_3,71,71,23
idle,0.0,0.0,0.0,1010.3295306886542,765.9402140782717,309.515968481996,240.0797547443111,0.0,,,0.0,0,0,0,4,Day_4,72,72,0
idle,0.0,0.0,0.0,1010.2583127355854,765.8934350568638,309.5148318851478,240.08556176883667,0.0,,,0.0,0,0,0,4,Day_4,73,73,1
idle,0.0,0.0,0.0,1010.1871019043118,765.8466607133581,309.5136954019593,240.0913682126598,0.0,,,0.0,0,0,0,4,Day_4,74,74,2
idle,0.0,0.0,0.0,1010.1158981941214,765.7998910472868,309.51255903241906,240.09717407583855,0.0,,,0.0,0,0,0,4,Day_4,75,75,3
idle,0.0,0.0,0.0,1010.044701604302,765.753126058182,309.5114227765158,240.10297935843099,0.0,,,0.0,0,0,0,4,Day_4,76,76,4
idle,0.0,0.0,0.0,1009.9735121341415,765.7063657455762,309.5102866342381,240.10878406049517,0.0,,,0.0,0,0,0,4,Day_4,77,77,5
idle,0.0,0.0,0.0,1009.9023297829281,765.6596101090017,309.5091506055747,240.11458818208914,0.0,,,0.0,0,0,0,4,Day_4,78,78,6
char,1.0,1.0030861454981383,-329.6228324828851,1010.9074937694542,765.6128591479908,309.50801469051413,239.93925271903998,-9391.903811194947,0.8699861105299467,0.9299826459770304,1.0,0,0,0,4,Day_4,79,79,7
char,1.0,1.003138132721769,-329.6315281673887,1010.8536905597861,765.566112862076,309.5068788890451,239.93987989765156,-8956.095212938515,0.8699856441465063,0.9299820594465468,2.0,0,0,0,4,Day_4,80,80,8
char,1.0,1.0031901198686395,-329.64022590760635,1010.7998925401936,765.5193712507898,309.5057432011562,239.94050736263017,-8809.160355455473,0.8699851701481873,0.929981463273531,3.0,0,0,0,4,Day_4,81,81,9
char,1.0,1.00324210693555,-329.64892569998034,1010.7460997096463,765.4726343136648,309.50460762683605,239.94113511395963,-9250.433439062228,0.8699846885393764,0.9299808574632336,4.0,0,0,0,4,Day_4,82,82,10
char,1.0,1.0032940939185628,-329.6576275404146,1010.6923120670382,765.4259020502334,309.5034721660734,239.94176315163566,-9131.071245072304,0.8699841993245382,0.9299802420209572,5.0,0,0,0,4,Day_4,83,83,11
