Date,Time,LMP ($/MWh),SRP ($/MWh)
01/17/2024,7,90.5528,1
01/17/2024,8,88.48285,2.39
01/17/2024,9,74.89568,1
01/17/2024,10,60.5002,1
01/17/2024,11,55.80895,1
01/17/2024,12,45.75538,1
01/17/2024,13,38.50298,0.14
01/17/2024,14,35.32733,0.14
01/17/2024,15,38.27778,0.14
01/17/2024,16,56.31461,0.35
01/17/2024,17,76.45507,1
01/17/2024,18,81.03833,1.48
01/17/2024,19,80.05644,2.75
01/17/2024,20,80.57077,1.68
01/17/2024,21,79.3384,1
01/17/2024,22,79.20863,1
01/17/2024,23,77.75365,1
01/17/2024,24,71.11307,1
01/18/2024,1,47.39647,0.35
01/18/2024,2,47.20809,0.35
01/18/2024,3,47.16592,0.31348
01/18/2024,4,48.24269,0.35
01/18/2024,5,50.05184,0.35
01/18/2024,6,61.33853,0.89936
01/18/2024,7,75.40344,3.34599
01/18/2024,8,66.42738,2.74601
01/18/2024,9,52.41901,1
01/18/2024,10,40.20848,0.5
01/18/2024,11,36.40178,1.32894
01/18/2024,12,30.83144,0.40627
01/18/2024,13,26.67733,0.35
01/18/2024,14,29.03916,0.35
01/18/2024,15,32.80133,0.35
01/18/2024,16,51.02031,0.45
01/18/2024,17,72.69847,1.62
01/18/2024,18,77.97579,5
01/18/2024,19,77.37209,5
01/18/2024,20,76.04304,1.41
01/18/2024,21,72.40678,1.39242
01/18/2024,22,71.76707,1.25
01/18/2024,23,65.98359,2.02
01/18/2024,24,62.4439,2.02
01/19/2024,1,63.0545,0.35
01/19/2024,2,58.82921,0.35
01/19/2024,3,58.13843,0.35
01/19/2024,4,58.41867,0.35
01/19/2024,5,62.24097,0.53
01/19/2024,6,65.63654,0.91053
01/19/2024,7,76.81659,3.65829
01/19/2024,8,76.35517,4.71321
01/19/2024,9,64.12007,1
01/19/2024,10,53.9219,0.45
01/19/2024,11,52.10912,0.64308
01/19/2024,12,49.62547,0.35
01/19/2024,13,47.46471,0.35
01/19/2024,14,49.26773,0.35
01/19/2024,15,52.19228,0.35
01/19/2024,16,63.29741,0.74537
01/19/2024,17,76.39845,2
01/19/2024,18,78.3654,2
01/19/2024,19,77.06651,1.94
01/19/2024,20,70.96954,1
01/19/2024,21,67.17887,1
01/19/2024,22,64.52525,0.99
01/19/2024,23,63.38101,1
01/19/2024,24,55.02679,1
01/20/2024,1,55.98986,0.35
01/20/2024,2,51.56166,0.43587
01/20/2024,3,51.52806,0.44224
01/20/2024,4,51.4344,0.43587
01/20/2024,5,52.48998,0.39085
01/20/2024,6,52.25436,0.42359
01/20/2024,7,58.07355,0.51
01/20/2024,8,56.8411,1
01/20/2024,9,49.07837,1
01/20/2024,10,47.6577,1
01/20/2024,11,42.53093,0.64288
01/20/2024,12,40.89471,0.35
01/20/2024,13,41.56694,0.35
01/20/2024,14,40.63927,0.35
01/20/2024,15,44.74148,0.35
01/20/2024,16,56.32541,0.35
01/20/2024,17,63.01946,1
01/20/2024,18,66.35361,1.43
01/20/2024,19,64.67594,1
01/20/2024,20,63.68963,1
01/20/2024,21,64.13058,1
01/20/2024,22,62.26358,1
01/20/2024,23,57.30633,1
01/20/2024,24,51.53966,1
01/21/2024,1,48.84786,0.35
01/21/2024,2,48.69382,0.76929
01/21/2024,3,47.85317,0.55827
01/21/2024,4,48.07814,0.52633
01/21/2024,5,47.71587,0.43848
01/21/2024,6,48.2625,0.50237
01/21/2024,7,46.41347,0.36239
01/21/2024,8,48.0861,0.9048
01/21/2024,9,44.19623,0.81342
01/21/2024,10,41.5007,0.58058
01/21/2024,11,40.24866,0.35
01/21/2024,12,39.13738,0.14
01/21/2024,13,38.07282,0.14
01/21/2024,14,37.87391,0.14
01/21/2024,15,38.98955,0.3
01/21/2024,16,41.93897,0.35
01/21/2024,17,56.45645,0.79183
01/21/2024,18,61.22501,1
01/21/2024,19,60.82719,1
01/21/2024,20,58.52086,1
01/21/2024,21,58.13512,0.82607
01/21/2024,22,56.89272,1
01/21/2024,23,51.91161,1
01/21/2024,24,48.20489,1
01/22/2024,1,49.51804,0.45
01/22/2024,2,49.33393,0.53699
01/22/2024,3,49.45993,0.98396
01/22/2024,4,49.36996,0.45
01/22/2024,5,50.32667,0.45
01/22/2024,6,52.52602,0.62786
01/22/2024,7,69.2768,1
01/22/2024,8,71.61342,1.06147
01/22/2024,9,71.79792,0.67709
01/22/2024,10,70.42864,1
01/22/2024,11,65.49483,1
01/22/2024,12,62.26469,0.45
01/22/2024,13,60.8215,0.45
01/22/2024,14,59.48748,0.35
