Date,Time,LMP ($/MWh),SRP ($/MWh),hour_idx,day_idx
09/18/2024,12,-4.37092,0.14,6274,261
09/18/2024,13,-5.05188,0.14,6275,261
09/18/2024,14,-2.17982,0.14,6276,261
09/18/2024,15,-2.66145,0.14,6277,261
09/18/2024,16,1.69272,0.14,6278,261
09/18/2024,17,16.05078,0.14,6279,261
09/18/2024,18,35.05678,0.14,6280,261
09/18/2024,19,40.7597,0.75,6281,261
09/18/2024,20,41.19043,0.75,6282,261
09/18/2024,21,39.71109,0.75,6283,261
09/18/2024,22,38.44065,0.3567,6284,261
09/18/2024,23,38.10249,0.75,6285,261
09/18/2024,24,37.40234,0.75,6286,261
09/19/2024,1,38.40051,0.25416,6287,261
09/19/2024,2,38.08188,0.42237,6288,262
09/19/2024,3,35.97074,0.14,6289,262
09/19/2024,4,34.81594,0.14,6290,262
09/19/2024,5,38.06677,0.14,6291,262
09/19/2024,6,39.252,0.5,6292,262
09/19/2024,7,40.56888,0.5,6293,262
09/19/2024,8,34.81255,0.75,6294,262
09/19/2024,9,14.75971,0.5,6295,262
09/19/2024,10,3.39825,0.14,6296,262
09/19/2024,11,1.76427,0.14,6297,262
09/19/2024,12,1.12325,0.14,6298,262
09/19/2024,13,-0.93208,0.14,6299,262
09/19/2024,14,-3.92539,0.14,6300,262
09/19/2024,15,-2.83644,0.14,6301,262
09/19/2024,16,2.99645,0.14,6302,262
09/19/2024,17,11.41863,0.14,6303,262
09/19/2024,18,37.98338,0.75,6304,262
09/19/2024,19,40.19776,0.75,6305,262
09/19/2024,20,39.30215,1.0,6306,262
09/19/2024,21,38.59296,0.75,6307,262
09/19/2024,22,38.27902,0.75,6308,262
09/19/2024,23,37.19854,0.75,6309,262
09/19/2024,24,36.16565,0.75,6310,262
09/20/2024,1,37.33554,0.45,6311,262
09/20/2024,2,35.73463,0.45,6312,263
09/20/2024,3,33.58331,0.14,6313,263
09/20/2024,4,33.44308,0.14,6314,263
09/20/2024,5,33.80275,0.14,6315,263
09/20/2024,6,39.55082,0.14,6316,263
09/20/2024,7,41.12606,0.5,6317,263
09/20/2024,8,37.17595,0.5,6318,263
09/20/2024,9,14.86522,0.5,6319,263
09/20/2024,10,6.06358,0.14,6320,263
09/20/2024,11,6.09969,0.14,6321,263
09/20/2024,12,5.98522,0.14,6322,263
09/20/2024,13,4.46557,0.14,6323,263
09/20/2024,14,4.45089,0.14,6324,263
09/20/2024,15,6.27154,0.14,6325,263
09/20/2024,16,6.75135,0.14,6326,263
09/20/2024,17,20.84197,0.14,6327,263
09/20/2024,18,37.79141,0.14,6328,263
09/20/2024,19,39.91711,0.76368,6329,263
09/20/2024,20,40.03429,0.75,6330,263
09/20/2024,21,38.95767,0.75,6331,263
09/20/2024,22,38.31084,0.45,6332,263
09/20/2024,23,38.00068,0.75,6333,263
09/20/2024,24,36.06879,0.75,6334,263
09/21/2024,1,35.90021,0.45,6335,263
09/21/2024,2,36.26811,0.45,6336,264
09/21/2024,3,34.09218,0.45,6337,264
09/21/2024,4,32.73964,0.45,6338,264
09/21/2024,5,33.65024,0.45,6339,264
09/21/2024,6,34.09874,0.45,6340,264
09/21/2024,7,36.42105,0.5,6341,264
09/21/2024,8,26.81639,0.5,6342,264
09/21/2024,9,0.50446,0.5,6343,264
09/21/2024,10,-3.16373,0.16949,6344,264
09/21/2024,11,-2.45089,0.14,6345,264
09/21/2024,12,-3.00341,0.14,6346,264
09/21/2024,13,-2.5252,0.14,6347,264
09/21/2024,14,-3.29349,0.14,6348,264
09/21/2024,15,-0.53101,0.14,6349,264
09/21/2024,16,-0.02378,0.14,6350,264
09/21/2024,17,11.44192,0.14,6351,264
09/21/2024,18,33.92814,0.14,6352,264
09/21/2024,19,41.073,1.0,6353,264
09/21/2024,20,41.5175,1.0,6354,264
09/21/2024,21,39.65847,0.55878,6355,264
09/21/2024,22,40.1052,0.45,6356,264
09/21/2024,23,39.4999,0.71349,6357,264
09/21/2024,24,38.55596,0.75,6358,264
09/22/2024,1,44.10203,0.45,6359,264
09/22/2024,2,43.77997,0.5,6360,265
09/22/2024,3,43.01529,0.5,6361,265
09/22/2024,4,38.00761,0.45,6362,265
09/22/2024,5,40.70197,0.5,6363,265
