hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
42,2,2668.414927,30.242030860453777,0.0,0.0,0.0,600.0,400.0,1397.4191680000001,0.0,0.0,240.7537281395464,240.7537281395464
43,2,2649.707953,15.552456677310944,0.0,0.0,0.0,600.0,400.0,1393.46488,0.0,0.0,240.690616322689,240.690616322689
44,2,2566.10423,0.0,0.0,0.0,0.0,563.7807871052989,400.0,1369.449168,0.0,0.0,232.87427489470076,232.87427489470076
45,2,2379.699954,0.0,0.0,0.0,0.0,360.8056559850581,400.0,1389.3260579999999,0.0,0.0,229.56824001494212,229.56824001494212
46,2,2147.711292,0.0,0.0,0.0,0.0,165.35602287448836,400.0,1356.900892,0.0,0.0,225.45437712551123,225.45437712551123
47,2,1933.431405,0.0,0.0,0.0,0.0,32.587954077249904,400.0,1307.5777340000002,0.0,0.0,193.2657169227501,193.2657169227501
48,3,1735.996114,0.0,0.0,0.0,0.0,56.78232316906604,400.0,1249.423332,0.0,0.0,29.79045883093377,29.79045883093377
49,3,1625.856955,0.0,0.0,0.0,0.0,20.6425670000001,400.0,1205.2143879999999,0.0,-0.0,0.0,0.0
50,3,1572.370167,0.0,0.0,0.0,0.0,37.38394100000005,400.0,1134.986226,0.0,-0.0,0.0,0.0
51,3,1526.000162,0.0,0.0,0.0,0.0,57.44598199999996,400.0,1068.55418,0.0,-0.0,0.0,0.0
52,3,1529.526205,0.0,0.0,0.0,0.0,66.19576743326475,400.0,968.800664,0.0,0.0,94.52977356673517,94.52977356673517
53,3,1637.419418,0.0,0.0,0.0,0.0,66.03288400069603,400.0,848.801192,215.6799654,0.0,106.90537659930393,106.90537659930393
54,3,2056.015693,0.0,0.0,0.0,0.0,0.0,314.5626386525694,740.717308,1233.7207452,232.9849988525698,0.0,-232.9849988525698
55,3,2632.951163,0.0,0.0,0.0,0.0,0.0,399.834289323805,654.540182,1893.6300383999999,315.0533467238048,0.0,-315.0533467238048
56,3,2730.645193,0.0,0.0,0.0,0.0,0.0,55.25645529999974,641.675564,2033.7131737,-0.0,0.0,0.0
57,3,2722.687335,0.0,0.0,0.0,0.0,0.0,372.2848831236739,668.35383,2046.0165959,363.9679740236737,0.0,-363.9679740236737
58,3,2637.124186,0.0,0.0,0.0,0.0,0.0,330.43877305960194,691.2887020000001,1979.8062429,364.40953195960236,0.0,-364.40953195960236
59,3,2632.433578,0.0,0.0,0.0,0.0,0.0,314.76152446313057,743.4853099999999,1938.6468091000002,364.4600655631307,0.0,-364.4600655631307
60,3,2694.100047,0.0,0.0,0.0,0.0,0.0,335.5893357858107,794.653802,1928.4331393,364.5762300858105,0.0,-364.5762300858105
61,3,2734.564045,0.0,0.0,0.0,0.0,0.0,293.88277294655217,870.5497779999998,1934.7111066,364.5796125465516,0.0,-364.5796125465516
62,3,2720.690938,0.0,0.0,0.0,0.0,0.0,196.94215407390374,952.8517020000002,1935.5644227,364.6673407739034,0.0,-364.6673407739034
63,3,2542.420129,0.0,0.0,0.0,0.0,0.0,154.97709916865807,983.115188,1769.3419553,365.0141134686581,0.0,-365.0141134686581
64,3,2501.549457,0.0,0.0,0.0,0.0,107.2673565,400.0,1074.511974,919.7701265,-0.0,0.0,0.0
65,3,2511.614622,160.91180089583796,0.0,0.0,0.0,600.0,400.0,1179.142446,30.562643799999933,0.0,140.99773130416176,140.99773130416176
66,3,2486.23913,152.1273351231434,0.0,0.0,0.0,600.0,400.0,1245.073616,0.0,0.0,89.03817887685676,89.03817887685676
67,3,2494.682223,160.5990144712111,0.0,0.0,0.0,600.0,400.0,1196.145886,0.0,0.0,137.93732252878848,137.93732252878848
68,3,2429.563652,164.9533232729312,0.0,0.0,0.0,600.0,400.0,1098.29043,0.0,0.0,166.31989872706896,166.31989872706896
69,3,2256.37626,168.46931774056233,0.0,0.0,0.0,600.0,400.0,901.604124,0.0,0.0,186.3028182594377,186.3028182594377
70,3,2039.753381,157.0257642819687,0.0,0.0,0.0,600.0,400.0,769.636338,0.0,0.0,113.09127871803136,113.09127871803136
71,3,1825.154625,141.60448905630463,0.0,0.0,0.0,600.0,400.0,641.4910299999999,0.0,0.0,42.059105943695485,42.059105943695485
72,4,1671.432098,132.43622399999984,0.0,0.0,0.0,600.0,400.0,538.9958740000001,0.0,-0.0,0.0,0.0
73,4,1566.538101,114.61565700000007,0.0,0.0,0.0,600.0,400.0,451.922444,0.0,-0.0,0.0,0.0
74,4,1510.329374,140.99883599999998,0.0,0.0,0.0,600.0,400.0,369.330538,0.0,-0.0,0.0,0.0
75,4,1474.79629,170.21063400000003,0.0,0.0,0.0,600.0,400.0,304.585656,0.0,-0.0,0.0,0.0
76,4,1485.041686,171.26710404268857,0.0,0.0,0.0,600.0,400.0,249.752856,0.0,0.0,64.02172595731146,64.02172595731146
77,4,1558.058038,56.352810999999754,0.0,0.0,0.0,600.0,400.0,226.55436400000002,275.150863,-0.0,0.0,0.0
78,4,2213.643209,0.0,0.0,0.0,0.0,284.8280540702193,400.0,186.19426199999998,1418.5333122,75.91241927021949,0.0,-75.91241927021949
79,4,2698.157538,0.0,0.0,0.0,0.0,278.16463543934066,400.0,160.939538,2051.9375640999997,192.88419953934064,0.0,-192.88419953934064
80,4,2817.3498,0.0,0.0,0.0,0.0,277.3831161171256,400.0,168.90084,2186.0823179,215.01647401712546,0.0,-215.01647401712546
81,4,2873.526178,0.0,0.0,0.0,0.0,280.51170620213736,400.0,170.9043459999998,2169.2772184,147.16709260213722,0.0,-147.16709260213722
82,4,2884.621891,0.0,0.0,0.0,0.0,282.7369732493405,400.0,182.29269599999998,2129.4935388,109.90131704934024,0.0,-109.90131704934024
83,4,2852.573258,0.0,0.0,0.0,0.0,283.284638066126,400.0,163.523008,2107.2637858,101.4981738661258,0.0,-101.4981738661258
84,4,2857.176061,0.0,0.0,0.0,0.0,283.2627004925525,400.0,146.941358,2130.9041219000005,103.93211939255319,0.0,-103.93211939255319
85,4,2849.037972,0.0,0.0,0.0,0.0,282.4633295413651,400.0,120.711244,2159.7601335000004,113.89673504136523,0.0,-113.89673504136523
86,4,2876.506909,0.0,0.0,0.0,0.0,287.7237124580169,400.0,98.804486,2137.6348695000006,47.65615895801747,0.0,-47.65615895801747
87,4,2602.737181,0.0,0.0,0.0,0.0,282.95225736395344,400.0,93.08394999999996,1937.0794948,110.37852116395332,0.0,-110.37852116395332
88,4,2612.59901,346.2017828700032,0.0,0.0,0.0,600.0,400.0,90.131414,964.2035091,0.0,212.0623040299971,212.0623040299971
89,4,2625.104215,500.0,400.0,327.8600211100046,0.0,600.0,400.0,137.609238,17.9544647,0.0,241.6804911899953,241.6804911899953
90,4,2596.017828,500.0,400.0,176.49580489507082,0.0,600.0,400.0,278.223734,0.0,0.0,241.29828910492893,241.29828910492893
91,4,2604.932293,500.0,400.0,199.82026291339292,0.0,600.0,400.0,263.830124,0.0,0.0,241.28190608660688,241.28190608660688
92,4,2529.36499,500.0,400.0,147.88556973920413,0.0,600.0,400.0,240.34165,0.0,0.0,241.13777026079623,241.13777026079623
93,4,2322.733336,500.0,372.8552472759247,0.0,0.0,600.0,400.0,223.60183,0.0,0.0,226.27625872407518,226.27625872407518
94,4,2100.287633,500.0,174.5523159144836,0.0,0.0,600.0,400.0,201.194196,0.0,0.0,224.54112108551644,224.54112108551644
95,4,1865.410666,438.1941335232323,0.0,0.0,0.0,600.0,400.0,208.70734399999998,0.0,0.0,218.50918847676792,218.50918847676792
96,5,1693.17988,362.706830929572,0.0,0.0,0.0,600.0,400.0,206.492942,0.0,0.0,123.98010707042772,123.98010707042772
97,5,1577.809423,374.03175899999997,0.0,0.0,0.0,600.0,400.0,203.777664,0.0,-0.0,0.0,0.0
98,5,1511.221283,302.93573100000003,0.0,0.0,0.0,600.0,400.0,208.28555200000002,0.0,-0.0,0.0,0.0
99,5,1462.411238,225.33846599999993,0.0,0.0,0.0,600.0,400.0,237.072772,0.0,-0.0,0.0,0.0
100,5,1456.190984,137.55442199999993,0.0,0.0,0.0,600.0,400.0,318.636562,0.0,-0.0,0.0,0.0
101,5,1540.455551,0.0,0.0,0.0,0.0,530.9287164,400.0,315.394044,294.1327906,-0.0,0.0,0.0
102,5,2333.685788,0.0,0.0,0.0,0.0,312.3028388262016,400.0,302.081274,1536.4041100999998,217.10243492620143,0.0,-217.10243492620143
103,5,2674.542755,0.0,0.0,0.0,0.0,212.13642016053115,400.0,220.51748399999997,2164.9409800999997,323.05212926053076,0.0,-323.05212926053076
104,5,2825.825242,0.0,0.0,0.0,0.0,265.7909660629598,400.0,248.724742,2230.3676748000003,319.0581408629602,0.0,-319.0581408629602
105,5,2898.222342,0.0,0.0,0.0,0.0,283.8954916746644,400.0,317.87206600000036,2212.7092592,316.25447487466465,0.0,-316.25447487466465
106,5,2902.612565,0.0,0.0,0.0,0.0,261.130069908228,400.0,382.748758,2178.4808408999997,319.74710380822773,0.0,-319.74710380822773
107,5,2911.771958,0.0,0.0,0.0,0.0,298.31797387312986,400.0,366.984328,2158.2102325,311.74057637313007,0.0,-311.74057637313007
108,5,2856.968103,0.0,0.0,0.0,0.0,309.01044685328833,400.0,277.61740999999984,2161.9369593,291.59671315328825,0.0,-291.59671315328825
109,5,2848.02591,0.0,0.0,0.0,0.0,309.4210245734014,400.0,234.99017999999978,2185.8733422,282.2586367734014,0.0,-282.2586367734014
110,5,2847.52219,0.0,0.0,0.0,0.0,310.73144942573623,400.0,224.181792,2165.1934925,252.58454392573597,0.0,-252.58454392573597
111,5,2701.554184,0.0,0.0,0.0,0.0,316.66104656381594,400.0,217.43314,1939.6133197,172.15332226381588,0.0,-172.15332226381588
112,5,2759.851734,399.7074948939351,0.0,0.0,0.0,600.0,400.0,230.61409999999998,918.9429338,0.0,210.5872053060649,210.5872053060649
113,5,2772.560276,500.0,400.0,311.50270142075163,0.0,600.0,400.0,307.77545,12.0160809,0.0,241.26604367924858,241.26604367924858
114,5,2742.568116,500.0,400.0,287.44952047963375,0.0,600.0,400.0,313.94414,0.0,0.0,241.17445552036628,241.17445552036628
