hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
51,3,1526.000162,0.0,0.0,0.0,0.0,36.92662940193904,400.0,1068.55418,0.0,0,20.519352598060916,20.519352598060916
52,3,1529.526205,0.0,0.0,0.0,0.0,36.876934138362415,400.0,968.800664,0.0,0,123.84860686163732,123.84860686163732
53,3,1637.419418,0.0,0.0,0.0,0.0,37.033975584099466,400.0,848.801192,215.6799654,0,135.90428501590046,135.90428501590046
54,3,2056.015693,0.0,0.0,0.0,0.0,0.0,366.931420813352,740.717308,1233.7207452,285.3537810133522,0.0,-285.3537810133522
55,3,2632.951163,0.0,0.0,0.0,0.0,0.0,370.14227285410624,654.540182,1893.6300383999999,285.3613302541059,0.0,-285.3613302541059
56,3,2730.645193,0.0,0.0,0.0,0.0,0.0,340.62533868878614,641.675564,2033.7131737,285.3688833887864,0.0,-285.3688833887864
57,3,2722.687335,0.0,0.0,0.0,0.0,0.0,293.69334953741253,668.35383,2046.0165959,285.37644043741255,0.0,-285.37644043741255
58,3,2637.124186,0.0,0.0,0.0,0.0,0.0,251.4132425250849,691.2887020000001,1979.8062429,285.3840014250849,0.0,-285.3840014250849
59,3,2632.433578,0.0,0.0,0.0,0.0,0.0,235.69302527554413,743.4853099999999,1938.6468091000002,285.3915663755442,0.0,-285.3915663755442
60,3,2694.100047,0.0,0.0,0.0,0.0,0.0,256.41224100941076,794.653802,1928.4331393,285.3991353094109,0.0,-285.3991353094109
61,3,2734.564045,0.0,0.0,0.0,0.0,0.0,214.70986865246397,870.5497779999998,1934.7111066,285.4067082524637,0.0,-285.4067082524637
62,3,2720.690938,0.0,0.0,0.0,0.0,0.0,117.68909852310702,952.8517020000002,1935.5644227,285.414285223107,0.0,-285.414285223107
63,3,2542.420129,0.0,0.0,0.0,0.0,0.0,75.38485194718061,983.115188,1769.3419553,285.4218662471806,0.0,-285.4218662471806
64,3,2501.549457,0.0,0.0,0.0,0.0,107.2673565,400.0,1074.511974,919.7701265,0,0.0,0.0
65,3,2511.614622,102.38129679454616,0.0,0.0,0.0,600.0,400.0,1179.142446,30.562643799999933,0,199.5282354054539,199.5282354054539
