hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,t_hh,t_lh,t_hc,t_lc,mode,eff_com,eff_exp,power_milp,power_physical,power_mismatch
38,2,337.87968296088377,0.0,-506.81952444132565,7.443449993667413,1.0,0.0,1012.6658183048665,767.1816648150287,309.0739501068315,239.845644601028,char,0.8699969356625826,0.9299967238964304,-337.64810590080845,-337.87968296088377,-0.23157706007532397
39,2,337.8885849233411,0.0,-506.83287738501167,8.443449993667413,1.0,0.0,1012.5326136320656,767.1347616485473,309.0728577118208,239.87429547140684,char,0.8699967106152244,0.9299964631182046,-337.64810590080845,-337.8885849233411,-0.24047902253266784
40,2,0,198.54811342513528,5080.232814456418,7.608624955460802,0,0.8348250382066105,1012.4611753707023,767.9545904379605,308.62952971892855,239.88012304185972,dis,0.8699975484639068,0.9299945912648078,197.74500679999983,198.54811342513528,0.8031066251354559
41,2,0,237.03267367812276,9582.481361902275,6.608624955460802,0,1.0,1012.3897442531653,767.7393228489875,309.169986080695,239.88595002955554,dis,0.8699971267503165,0.9299981721795348,236.87,237.03267367812276,0.1626736781227578
42,2,0,236.99436468591958,9528.12342050019,5.608624955460802,0,1.0,1012.31832027874,767.6433279264413,309.32858970712175,239.8917764345526,dis,0.8699970654307881,0.929998269860308,236.87,236.99436468591958,0.1243646859195735
43,2,0,236.95605935755776,9505.663422799242,4.608624955460802,0,1.0,1012.246903446712,767.5733018888934,309.4040656673094,239.89760225690918,dis,0.8699970032817589,0.9299983637049613,236.87,236.95605935755776,0.08605935755775818
44,2,0,236.91775769122768,7249.061012610358,3.608624955460802,0,1.0,1012.1754937563674,767.5131340535215,309.4479945593466,239.90342749668352,dis,0.8699969403040924,0.9299984537132554,236.87,236.91775769122768,0.04775769122767315
45,2,0,236.87945968907135,6759.342202991041,2.608624955460802,0,1.0,1012.1040912069917,767.4577582376512,309.4765964707828,239.90925215393386,dis,0.8699968764979072,0.9299985398846334,236.87,236.87945968907135,0.009459689071348976
46,2,0,236.84116534900636,6285.6916633515175,1.6086249554608019,0,1.0,1012.032695797871,767.4050731818021,309.496598875977,239.91507622871848,dis,0.8699968118641241,0.9299986222188719,236.87,236.84116534900636,-0.028834650993644573
47,2,0,167.3244703015295,4281.045432578671,0.9063008485667258,0,0.7023241068940761,1011.9613075282913,767.4083891231945,309.33231916199617,239.92089972109562,dis,0.8699974898597386,0.9299916405068376,166.35951119999982,167.3244703015295,0.9649591015296721
48,3,0,24.35725454014183,624.0853578904353,0.8063008485667258,0,0.1,1011.8899263975385,767.3849150681126,309.227055772333,239.92672263112354,dis,0.8699960522388626,0.9299238234443616,23.687,24.35725454014183,0.6702545401418298
49,3,0,0.0,0.0,0.8063008485667258,0,0.0,1011.8185524048987,767.3379915766058,309.2259480667558,239.93254495886043,idle,,,0.0,0.0,0.0
50,3,0,0.0,0.0,0.8063008485667258,0,0.0,1011.7471855496582,767.2910727774481,309.2248404719491,239.93836670436457,idle,,,0.0,0.0,0.0
51,3,0,0.0,0.0,0.8063008485667258,0,0.0,1011.6758258311032,767.2441586701703,309.2237329879019,239.94418786769415,idle,,,0.0,0.0,0.0
52,3,0,90.63144504852916,2329.3134182677495,0.42892979609068355,0,0.37737105247604225,1011.6044732485201,767.2523848793381,309.0268792199449,239.9500084489074,dis,0.8699984582579502,0.9299731006510698,89.38788120000012,90.63144504852916,1.2435638485290355
53,3,0,102.82691982845947,2642.7663278772966,0.0,0,0.4289297960906838,1011.5331278011953,767.2054746408502,309.0257915320229,239.95582844806253,dis,0.8699982425739085,0.9299780018039353,101.60060080000028,102.82691982845947,1.2263190284591872
54,3,0,0.0,0.0,0.0,0,0.0,1011.4617894884152,767.1585690933861,309.0247039528697,239.96164786521774,idle,,,0.0,0.0,0.0
55,3,149.9317158786333,0.0,-224.89757381794993,0.44344999366741256,0.44344999366741256,0.0,1015.6009791034498,767.1116682364767,309.0236164824744,238.79258881282638,char,0.8699751439036119,0.929990149923457,-149.73005042352736,-149.9317158786333,-0.20166545510593892
56,3,337.90209803515035,0.0,-506.8531470527255,1.4434499936674126,1.0,0.0,1013.0957786165018,767.064772069653,309.0225291208261,239.65358234304838,char,0.8699963202220191,0.929996061454391,-337.64810590080845,-337.90209803515035,-0.2539921343418996
57,3,337.91101154237447,0.0,-506.8665173135617,2.4434499936674126,1.0,0.0,1012.5969944253698,767.0178805924461,309.021441867914,239.81033666068961,char,0.8699960737727606,0.9299957759117842,-337.64810590080845,-337.91101154237447,-0.2629056415660216
58,3,337.9199294962951,0.0,-506.87989424444265,3.4434499936674126,1.0,0.0,1012.3566029731594,766.9709938043868,309.0203547237272,239.87639872205048,char,0.8699958192410951,0.9299954803326893,-337.64810590080845,-337.9199294962951,-0.27182359548663726
59,3,337.92885191990246,0.0,-506.8932778798537,4.443449993667413,1.0,0.0,1012.2001539962671,766.9241117050063,309.01926768825484,239.91299964093832,char,0.8699955566171111,0.929995174712507,-337.64810590080845,-337.92885191990246,-0.28074601909401053
60,3,337.93777884173903,0.0,-506.90666826260855,5.443449993667413,1.0,0.0,1012.0813881893164,766.8772342938358,309.018180761486,239.93637618790967,char,0.8699952858903701,0.929994859046293,-337.64810590080845,-337.93777884173903,-0.28967294093058626
61,3,337.9467102856715,0.0,-506.9200654285072,6.443449993667413,1.0,0.0,1011.9827633526389,766.8303615704065,309.01709394340986,239.9526855823525,char,0.8699950070505652,0.9299945333291788,-337.64810590080845,-337.9467102856715,-0.2986043848630402
62,3,337.9556462765362,0.0,-506.9334694148043,7.443449993667413,1.0,0.0,1011.8961642072111,766.7834935342494,309.0160072340155,239.96477624473044,char,0.869994720087162,0.9299941975561448,-337.64810590080845,-337.9556462765362,-0.30754037572773996
63,3,337.9645868427569,0.0,-506.9468802641353,8.443449993667413,1.0,0.0,1011.8173200082099,766.736630184896,309.0149206332921,239.97414718453902,char,0.8699944249892009,0.9299938517218878,-337.64810590080845,-337.9645868427569,-0.31648094194844134
64,3,0,0.0,0.0,8.443449993667413,0,0.0,1011.7459532762091,766.6897715218774,309.01383414122876,239.97996476982058,idle,,,0.0,0.0,0.0
65,3,0,193.0279343544334,7847.220513705375,7.630565752061548,0,0.812884241605865,1011.6745936808815,767.5343039207777,308.48970071355427,239.9857817733436,dis,0.8699975422506165,0.9299966590561971,192.54789030918124,193.0279343544334,0.48004404525215705
66,3,0,132.901819842528,5402.403445559537,7.074126050498744,0,0.5564397015628033,1011.6032412215134,767.7001851223708,307.7442921068588,239.9915981951663,dis,0.86999823433073,0.9299875642844883,131.8038721091812,132.901819842528,1.0979477333467855
67,3,0,189.64159601074238,7709.569675299969,6.27548251138792,0,0.7986435391108243,1011.5318958973912,767.5861842821874,307.9840432372307,239.9974140353468,dis,0.8699974879698684,0.9299966453878632,189.17469510918096,189.64159601074238,0.4669009015614165
68,3,0,221.80727388288201,9017.973016524458,5.338632846554125,0,0.9368496648337948,1011.4605577078015,767.4254397386915,308.3666055405461,240.00322929394326,dis,0.8699970473826317,0.9299989381067877,221.911580109181,221.80727388288201,-0.10430622629897357
69,3,0,236.43987558784602,9625.465813093111,4.338632846554125,0,1.0,1011.3892266520307,767.2862889333657,308.67145401660105,240.00904397101388,dis,0.8699967824444153,0.9299994426079862,236.87,236.43987558784602,-0.43012441215398667
70,3,0,161.50230237962884,6565.341279280491,3.659967751315465,0,0.67866509523866,1011.3179027293655,767.2868032558762,308.51546977190554,240.0148580666168,dis,0.869997633629809,0.9299937912629541,160.7554011091814,161.50230237962884,0.746901270447438
71,3,0,75.42725638273835,3066.0740756864125,3.346285338560869,0,0.3136824127545957,1011.2465859390926,767.3066632827752,308.2614310266235,240.02067158081016,dis,0.8699988565673632,0.9299709778567162,74.30195310918108,75.42725638273835,1.1253032735572646
72,4,0,0.0,0.0,3.346285338560869,0,0.0,1011.1752762804987,767.2597476164469,308.2604198835208,240.0264845136521,idle,,,0.0,0.0,0.0
73,4,0,0.0,0.0,3.346285338560869,0,0.0,1011.1039737528706,767.2128366416853,308.25940884153243,240.03229686520075,idle,,,0.0,0.0,0.0
74,4,0,24.304709825123545,989.2056942548022,3.246285338560869,0,0.1,1011.0326783554954,767.194350778015,308.1259947660419,240.03810863551425,dis,0.8699966030247734,0.9299354287408089,23.687,24.304709825123545,0.6177098251235442
75,4,0,46.94011474656617,1912.3225837743964,3.051964813440314,0,0.1943205251205549,1010.9613900876598,767.1931259402056,307.93763798527914,240.04391982465071,dis,0.8699986558052019,0.929956938035146,46.02870278530584,46.94011474656617,0.9114119612603275
76,4,0,112.12284831031012,4567.772256504306,2.582902041517716,0,0.46906277192259815,1010.890108948651,767.1941849371887,307.7753750273919,240.04973043266827,dis,0.8699982162810955,0.9299856666975334,111.10689878530583,112.12284831031012,1.015949525004288
77,4,0,0.0,0.0,2.582902041517716,0,0.0,1010.8188349377562,767.147280518695,307.77441248988913,240.055540459625,idle,,,0.0,0.0,0.0
78,4,149.67557150631097,0.0,-4278.612725068119,3.02558614178728,0.44268410026956345,0.0,1011.4525646385475,767.100380790643,307.77345004864014,239.86389534967995,char,0.8699731409869415,0.9299900943868351,-149.47144796842167,-149.67557150631097,-0.20412353788930204
