mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1009.5421708746104,764.1214519347129,309.54936952175393,239.86325617638613,0.0,,,7.0,0,0,0,6,Day_6,135,135,15
dis,1.0,1.0006843298170367,199.1066381773514,1009.471031657523,764.432627632492,309.5545876178155,239.8690848507685,7862.494160056086,0.8699880371140765,0.9299983862088491,6.0,0,0,0,6,Day_6,136,136,16
dis,1.0,1.0006522615439164,199.07437789590125,1009.3998995543573,764.600940905651,309.5574056615543,239.87491294228343,9435.771159873066,0.8699879093323434,0.929998417120541,5.0,0,0,0,6,Day_6,137,137,17
dis,1.0,1.0006201950663831,199.04212071384788,1009.3287745644018,764.6978253395079,309.55902370702785,239.8807404509892,11838.17742062543,0.8699877807710683,0.9299984441571286,4.0,0,0,0,6,Day_6,138,138,18
dis,1.0,1.0005881303856619,199.00986663119843,1009.2576566869453,764.7538953274379,309.5599560631168,239.88656737694413,10389.946919054933,0.869987651430706,0.9299984673182494,3.0,0,0,0,6,Day_6,139,139,19
dis,1.0,1.0005560675015608,198.97761564774788,1009.1865459212767,764.7844580658832,309.56045988425853,239.89239372020646,9015.936425675955,0.8699875213118137,0.9299984866035549,2.0,0,0,0,6,Day_6,140,140,20
dis,1.0,1.0005240064159033,198.94536776359377,1009.1154422666846,764.7980175525917,309.5606780340293,239.89821948083446,9060.944890802424,0.8699873904148018,0.9299985020126782,1.0,0,0,0,6,Day_6,141,141,21
dis,1.0,1.0004919471289573,198.91312297859963,1009.0443457224579,764.7513527508364,309.5595369662259,239.9040446588864,8160.140348349799,0.8699872587401927,0.9299985135452662,0.0,0,0,0,6,Day_6,142,142,22
idle,0.0,0.0,0.0,1008.9732562878856,764.7046926155613,309.5583960125293,239.90986925442053,0.0,,,0.0,0,0,0,6,Day_6,143,143,23
idle,0.0,0.0,0.0,1008.9021739622568,764.6580371462998,309.557255172928,239.9156932674951,0.0,,,0.0,0,0,0,7,Day_7,144,144,0
idle,0.0,0.0,0.0,1008.8310987448606,764.6113863425851,309.5561144474107,239.92151669816838,0.0,,,0.0,0,0,0,7,Day_7,145,145,1
idle,0.0,0.0,0.0,1008.760030634986,764.5647402039508,309.554973835966,239.9273395464986,0.0,,,0.0,0,0,0,7,Day_7,146,146,2
idle,0.0,0.0,0.0,1008.6889696319225,764.5180987299304,309.55383333858236,239.93316181254394,0.0,,,0.0,0,0,0,7,Day_7,147,147,3
idle,0.0,0.0,0.0,1008.6179157349593,764.4714619200574,309.5526929552485,239.9389834963627,0.0,,,0.0,0,0,0,7,Day_7,148,148,4
