hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,charge_beta_norm,discharge_beta_norm,eff_ex,eff_com,eff_exp,t_hh,t_lh,t_hc,t_lc,n,p_exp,alpha_com,alpha_exp,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error
71,3,0.0,41.22929808997736,1684.4067201123326,5.814958643647653,0,0.19539640278661363,0,1.0430843007652462,0.8242642809646786,0.8682821857568445,0.9271243759699647,1012.2214209102035,759.1357106364381,307.4004238124066,237.12878855313178,1.0,0.19240252207411046,4.4151475878732915,-1.9365133248583888,0,0,0,0,0,0
72,4,-0.0,0.0,0.0,5.814958643647653,0,0.0,0,0.0,0.9998523015463552,,,1012.1500137681124,759.0896120653745,307.39949877002533,237.13489067427648,,,,,0,0,0.0,0.0,0,0
73,4,-0.0,0.0,0.0,5.814958643647653,0,0.0,0,0.0,0.9998522995691111,,,1012.0786137667357,759.0435181041679,307.39857382014833,237.14099218520906,,,,,0,0,0.0,0.0,0,0
74,4,-0.0,0.0,0.0,5.814958643647653,0,0.0,0,0.0,0.9998522975918205,,,1012.007220905359,758.9974287523575,307.3976489627663,237.14709308599055,,,,,0,0,0.0,0.0,0,0
75,4,-0.0,0.0,0.0,5.814958643647653,0,0.0,0,0.0,0.9998522956144835,,,1011.9358351832684,758.9513440094822,307.39672419787,237.15319337668197,,,,,0,0,0.0,0.0,0,0
76,4,0.0,66.57059555761353,2730.2138623940937,5.4957293771852855,0,0.3192292664623679,0,1.030071723984917,0.8262319819834454,0.8694887151932593,0.9285486561004299,1011.86445659975,759.1547850038343,307.18041370357287,237.1592930573443,1.0,0.31563239446035873,2.378930795573564,-1.376288669142962,0,0,0.0,0.0,0,0
77,4,-0.0,0.0,0.0,5.4957293771852855,0,0.0,0,0.0,0.9998520834801011,,,1011.79308515409,759.1086845253338,307.1795106622025,237.1653921280386,,,,,0,0,0.0,0.0,0,0
78,4,77.87714786972286,0.0,-2170.2747361824645,5.764608621426309,0.26887924424102316,0.0,1.017160204451197,0.0,0.8714851156945517,0.8699088732127045,0.9293752289818643,1011.7850064571647,759.0625886568813,307.1786077111363,237.16323162381948,1.0,0.2660619189087109,0.6058892228107737,-1.147172130048972,0,0,0.0,0.0,0,0
79,4,192.39008780947427,0.0,-5343.962759622541,6.420506468088844,0.6558978466625354,0.0,1.0221440448956025,0.0,0.8644194497905658,0.8696349157202793,0.9289993856910848,1011.8530736704937,759.0164973980156,307.17770485036516,237.2058000143277,1.0,0.6483928080877612,2.01484683052906,-1.3773638568033384,0,0,0.0,0.0,0,0
80,4,214.24420200996892,0.0,-5948.727745885666,7.149403091561266,0.7288966234724217,0.0,1.0230782145552502,0.0,0.8628903160188172,0.8695576428454684,0.9289198109912756,1011.9139169781719,758.9704107482759,307.17680207988013,237.2515438440592,1.0,0.7203853766427101,2.2302620211752666,-1.419378732275245,0,0,0.0,0.0,0,0
